"","song","artist","WeekID","Peak.Position","Weeks.on.Chart","acousticness","danceability","duration_ms","energy","instrumentalness","key","liveness","loudness","mode","speechiness","tempo","time_signature","valence","Month","Season","artist.pop"
"1","...Ready For It?","Taylor Swift",2017-09-23,4,19,0.053,0.613,208187,0.764,0,2,0.197,-6.509,1,0.136,160.015,4,0.417,9,"Fall",6
"2","'Til Summer Comes Around","Keith Urban",2010-01-30,92,16,0.593,0.57,331467,0.629,0.000136,9,0.77,-7.608,0,0.0331,127.907,4,0.308,1,"Winter",7
"3","(If You're Wondering If I Want You To) I Want You To","Weezer",2009-09-12,100,9,0.002,0.704,208773,0.869,0.000117,11,0.127,-5.708,0,0.0442,110.015,4,0.8,9,"Fall",0
"4","(Kissed You) Good Night","Gloriana",2012-04-21,97,20,0.081,0.523,232903,0.747,0,11,0.11,-6.125,1,0.0292,118.97,4,0.294,4,"Spring",1
"5","(There's Gotta Be) More To Life","Stacie Orrico",2003-09-20,84,20,0.092,0.58,200387,0.922,0,1,0.189,-3.785,1,0.0958,89.841,4,0.649,9,"Fall",1
"6","#1","Nelly",2001-10-20,75,20,0.024,0.792,198773,0.6,0,7,0.419,-6.157,1,0.228,89.985,4,0.463,10,"Fall",1
"7","1 Thing","Amerie",2005-02-12,100,20,0.107,0.612,238760,0.961,4.17e-05,10,0.041,-3.078,0,0.333,129.873,5,0.867,2,"Winter",0
"8","1, 2, 3, 4","Plain White T's",2009-02-07,91,20,0.566,0.458,198360,0.55,1.39e-05,2,0.108,-7.092,1,0.0262,90.56,4,0.56,2,"Winter",3
"9","1+1","Beyonce",2011-06-11,57,2,0.381,0.303,273880,0.384,5.14e-06,6,0.066,-7.342,1,0.0339,63.345,5,0.261,6,"Summer",3
"10","10 Bands","Drake",2015-02-28,88,13,0.23,0.835,177733,0.756,0,7,0.08,-3.789,1,0.382,173,4,0.87,2,"Winter",8
"11","100 Years","Five For Fighting",2004-02-14,70,22,0.544,0.643,244600,0.569,2.17e-05,7,0.178,-7.459,1,0.0276,120.507,4,0.275,2,"Winter",1
"12","1234","Feist",2007-09-29,70,15,0.219,0.71,183667,0.491,1.99e-06,2,0.086,-7.382,1,0.0504,109.933,4,0.638,9,"Fall",0
"13","17 Again","Brantley Gilbert",2014-05-24,90,1,0.011,0.432,239773,0.872,1.14e-05,1,0.372,-4.911,1,0.0358,173.945,4,0.67,5,"Spring",5
"14","18","One Direction",2014-11-29,87,1,0.22,0.681,248360,0.582,0,6,0.119,-7.76,0,0.0313,124.038,4,0.221,11,"Fall",12
"15","19 You + Me","Dan + Shay",2014-01-18,96,18,0.319,0.493,217407,0.67,0,6,0.102,-5.131,1,0.0298,151.989,3,0.451,1,"Winter",0
"16","1901","Phoenix",2009-12-19,99,13,0.06,0.591,193107,0.831,4.67e-05,0,0.19,-5.647,1,0.0415,144.084,4,0.705,12,"Winter",0
"17","1942 Flows","Meek Mill",2017-08-12,83,1,0.052,0.63,282667,0.628,0,2,0.091,-4.016,1,0.327,121.307,5,0.266,8,"Summer",2
"18","1973","James Blunt",2007-10-06,73,3,0.065,0.72,280027,0.668,0.00664,9,0.079,-7.928,1,0.0269,123.007,4,0.768,10,"Fall",3
"19","1985","Bowling For Soup",2004-09-11,72,20,0,0.606,193000,0.887,0,4,0.337,-4.404,1,0.0598,119.974,4,0.903,9,"Fall",0
"20","1994","Jason Aldean",2013-03-30,93,11,0.183,0.598,242680,0.777,0,11,0.111,-6.676,0,0.0396,159.942,4,0.821,3,"Spring",6
"21","2 Phones","Kevin Gates",2016-01-23,93,25,0.157,0.895,240000,0.681,0,7,0.189,-5.267,0,0.358,121.918,4,0.554,1,"Winter",1
"22","2 Step","Unk",2007-02-24,94,21,0.058,0.763,195787,0.797,0,11,0.299,-2.274,0,0.0977,77.003,4,0.645,2,"Winter",1
"23","21 Guns","Green Day",2009-07-11,55,20,0.05,0.264,321566,0.73,0,5,0.54,-4.852,1,0.0359,159.425,4,0.418,7,"Summer",1
"24","22","Taylor Swift",2012-11-10,84,20,0.003,0.664,230133,0.739,0.00273,7,0.074,-6.539,1,0.0377,104.012,4,0.703,11,"Fall",22
"25","24's","T.I.",2003-08-02,99,15,0.227,0.739,282907,0.725,0,6,0.099,-4.301,1,0.203,162.06,4,0.582,8,"Summer",0
"26","24K Magic","Bruno Mars",2016-10-29,5,41,0.034,0.818,225983,0.803,0,1,0.153,-4.282,1,0.0797,106.97,4,0.632,10,"Fall",1
"27","25 To Life","Eminem",2010-07-10,92,1,0.239,0.701,241587,0.931,0,8,0.194,-0.945,0,0.243,79.996,4,0.362,7,"Summer",6
"28","3","Britney Spears",2009-10-24,1,20,0.052,0.701,205533,0.72,0,5,0.199,-1.948,0,0.0475,134.962,4,0.761,10,"Fall",5
"29","3 Peat","Lil Wayne",2008-06-28,66,1,0.001,0.616,199427,0.632,0,6,0.084,-7.562,0,0.386,79.811,4,0.47,6,"Summer",2
"30","4 In The Morning","Gwen Stefani",2007-06-09,76,16,0.194,0.709,291107,0.822,0.000153,10,0.119,-6.178,1,0.0341,92.409,4,0.456,6,"Summer",6
"31","4 Minutes","Avant",2006-03-25,94,14,0.091,0.825,240320,0.6,0,10,0.123,-5.378,1,0.162,119.956,4,0.607,3,"Spring",2
"32","4 Your Eyez Only","J. Cole",2016-12-31,29,1,0.378,0.704,530253,0.481,7.09e-05,11,0.087,-10.493,0,0.363,78.628,4,0.494,12,"Winter",3
"33","44 More","Logic",2018-03-10,22,5,0.064,0.829,188600,0.589,0,1,0.113,-7.055,1,0.202,139.971,4,0.233,3,"Spring",1
"34","444+222","Lil Uzi Vert",2017-09-16,60,3,0.024,0.791,247347,0.513,2.83e-05,10,0.101,-6.568,0,0.269,76.997,4,0.481,9,"Fall",3
"35","6 God","Drake",2015-03-07,83,1,0.024,0.857,180667,0.639,0,2,0.121,-8.622,1,0.128,105.504,4,0.477,3,"Spring",11
"36","6 Man","Drake",2015-03-07,97,1,0.227,0.798,167653,0.529,0,8,0.114,-9.288,1,0.482,78.967,4,0.368,3,"Spring",11
"37","7 Days","Craig David",2001-12-08,61,20,0.23,0.659,235133,0.812,0,4,0.095,-7.499,0,0.0487,83.013,4,0.888,12,"Winter",1
"38","7 Years","Lukas Graham",2016-02-06,96,36,0.287,0.765,237300,0.473,0,10,0.391,-5.829,1,0.0514,119.992,4,0.34,2,"Winter",0
"39","7/11","Beyonce",2014-12-13,18,20,0.013,0.747,213507,0.705,0,9,0.126,-5.137,0,0.126,136.024,4,0.56,12,"Winter",2
"40","8 Out Of 10","Drake",2018-07-14,21,3,0.161,0.529,195720,0.69,0,2,0.498,-7.87,1,0.74,170.54,4,0.311,7,"Summer",29
"41","80s Mercedes","Maren Morris",2016-11-05,95,13,0.066,0.485,211767,0.834,0,9,0.28,-5.413,1,0.0715,90.933,4,0.659,11,"Fall",1
"42","8th Of November","Big & Rich",2006-07-22,95,2,0.117,0.259,298240,0.729,0,2,0.438,-2.665,1,0.0418,169.11,3,0.284,7,"Summer",4
"43","8th World Wonder","Kimberley Locke",2004-03-27,78,20,0.01,0.537,240733,0.758,0,7,0.131,-4.065,1,0.0249,100.041,4,0.295,3,"Spring",0
"44","9","Drake",2016-05-21,45,5,0.001,0.7,255787,0.721,0.00112,2,0.257,-7.296,1,0.0447,100.003,4,0.038,5,"Spring",17
"45","92 Explorer","Post Malone",2018-05-12,40,3,0.269,0.802,211427,0.743,1.36e-06,7,0.121,-4.82,0,0.0474,146.03,4,0.877,5,"Spring",4
"46","99.9% Sure (I've Never Been Here Before)","Brian McComas",2003-07-12,77,11,0.084,0.615,193293,0.952,0,7,0.216,-3.37,1,0.0604,115.971,4,0.738,7,"Summer",0
"47","A Different World","Bucky Covington",2007-05-05,63,20,0.041,0.617,208573,0.688,0,9,0.086,-4.959,1,0.0279,128.968,4,0.442,5,"Spring",0
"48","A Few Questions","Clay Walker",2003-08-09,78,13,0.509,0.485,225181,0.317,2.5e-05,7,0.102,-10.217,1,0.0269,69.829,4,0.114,8,"Summer",0
"49","A Good Day To Run","Darryl Worley",2001-01-20,76,9,0.221,0.59,188573,0.773,5.49e-05,6,0.102,-5.183,1,0.0286,147.377,4,0.679,1,"Winter",1
"50","A Holly Jolly Christmas","Burl Ives",2017-01-07,47,8,0.701,0.57,82800,0.395,0,0,0.101,-11.429,1,0.0304,92.802,4,0.739,1,"Winter",0
"51","A Little Bit Longer","Jonas Brothers",2008-08-23,11,1,0.023,0.302,205013,0.619,0,0,0.231,-4.812,1,0.0331,156.359,4,0.291,8,"Summer",3
"52","A Little More Country Than That","Easton Corbin",2010-01-23,100,20,0.078,0.484,172227,0.61,2.81e-06,11,0.102,-8.484,1,0.0363,84.365,4,0.584,1,"Winter",0
"53","A Little More Summertime","Jason Aldean",2016-08-06,90,13,0.039,0.482,219547,0.823,3.69e-05,9,0.095,-4.446,1,0.0661,167.665,4,0.451,8,"Summer",7
"54","A Little Too Late","Toby Keith",2006-06-03,93,15,0.148,0.416,247180,0.737,0.0002581,11,0.127,-6.11,1,0.0478,201.79,4,0.624,6,"Summer",8
"55","A Little Too Much","Shawn Mendes",2015-02-21,94,1,0.473,0.553,187027,0.507,0,11,0.108,-6.24,1,0.0304,83.093,4,0.57,2,"Winter",2
"56","A Lonely Night","The Weeknd",2016-12-17,69,1,0.043,0.853,220173,0.663,8.65e-06,7,0.089,-6.955,0,0.0755,113.999,4,0.864,12,"Winter",11
