"","artist","song","WeekID","Peak.Position","Weeks.on.Chart","acousticness","danceability","duration_ms","energy","instrumentalness","key","liveness","loudness","mode","speechiness","tempo","time_signature","valence","Month","Season","artist.pop","X","trap","hip.hop","indie","punk","rap","jazz","pop","metal","country","folk","bluegrass","house","rock","opera","classical","instrumental","funk","broadway","Year"
"1","'N Sync","Bye Bye Bye",2000-01-29,42,23,0.056,0.602,200366,0.934,0.001165,8,0.085,-4.781,0,0.048,172.627,4,0.888,1,"Winter",0,185,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"2000"
"2","'N Sync","Pop",2001-06-02,29,15,0.034,0.706,238427,0.861,0,11,0.127,-6.684,1,0.154,119.946,4,0.923,6,"Summer",3,185,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"2001"
"3","'N Sync","This I Promise You",2000-09-30,68,26,0.354,0.55,284760,0.587,0,2,0.128,-6.279,1,0.0329,165.975,4,0.466,9,"Fall",2,185,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"2000"
"4","'N Sync","It's Gonna Be Me",2000-05-06,82,25,0.057,0.634,192180,0.887,7.035e-06,0,0.045,-4.854,0,0.0774,165.074,4,0.918,5,"Spring",1,185,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"2000"
"5","'N Sync","Gone",2001-09-22,63,24,0.44,0.702,292220,0.414,0,11,0.141,-8.508,0,0.0596,113.876,4,0.512,9,"Fall",4,185,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"2001"
"6","""Weird Al"" Yankovic","Word Crimes",2014-08-02,39,2,0.012,0.897,223120,0.43,0,7,0.047,-12.759,1,0.0551,121.987,4,0.964,8,"Summer",0,2209,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,"2014"
"7","(+44)","When Your Heart Stops Beating",2006-12-02,89,1,0,0.42,192787,0.968,0,9,0.08,-2.353,0,0.123,171.004,4,0.392,12,"Winter",0,4252,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"2006"
"8","10 Years","Wasteland",2006-04-01,94,2,0,0.391,229867,0.801,0.000208,6,0.066,-5.102,0,0.0813,146.729,4,0.341,4,"Spring",0,789,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,"2006"
"9","2 Chainz","I'm Different",2012-12-01,98,20,0.047,0.936,207040,0.702,0,10,0.084,-5.305,1,0.0615,97.524,4,0.704,12,"Winter",0,485,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"2012"
"10","21 Savage","Famous",2017-07-29,94,1,0.723,0.779,234280,0.597,4.47e-05,9,0.051,-9.652,0,0.434,173.986,4,0.646,7,"Summer",0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"2017"
"11","21 Savage","Bank Account",2017-07-29,33,28,0.015,0.884,220307,0.346,7.04e-06,8,0.087,-8.228,0,0.351,75.016,4,0.376,7,"Summer",0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"2017"
"12","21 Savage & Metro Boomin","No Heart",2016-11-12,85,19,0.136,0.906,235040,0.444,6.44e-05,4,0.173,-8.692,0,0.384,140.063,4,0.678,11,"Fall",0,780,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"2016"
"13","21 Savage, Offset & Metro Boomin","Mad Stalkers",2017-11-25,99,1,0.147,0.9,202667,0.365,0.185,10,0.179,-6.395,0,0.235,135.003,4,0.136,11,"Fall",0,132,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"2017"
"14","2Pac","Until The End Of Time",2001-04-21,82,14,0.029,0.757,266907,0.709,0,8,0.17,-6.716,1,0.203,97.023,4,0.38,4,"Spring",1,74,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,"2001"
"15","3 Doors Down","Kryptonite",2000-04-08,81,53,0.004,0.55,238300,0.904,5.6e-06,11,0.151,-4.601,0,0.0278,99.026,4,0.514,4,"Spring",0,1202,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,"2000"
"16","3 Doors Down","Here Without You",2003-08-30,64,51,0.031,0.502,237100,0.628,0,10,0.124,-5.654,0,0.0262,144.012,4,0.198,8,"Summer",3,1202,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,"2003"
"17","3 Doors Down","It's Not My Time",2008-03-08,94,29,0.01,0.566,242693,0.911,0,0,0.138,-4.06,1,0.0432,127.969,4,0.28,3,"Spring",0,1202,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,"2008"
"18","3 Doors Down","Away From The Sun",2004-07-03,66,15,0.016,0.511,230100,0.632,0,0,0.104,-5.76,1,0.0266,132.021,4,0.279,7,"Summer",3,1202,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,"2004"
"19","3 Doors Down","Let Me Go",2005-02-05,73,31,0.019,0.478,243053,0.856,0,1,0.107,-4.881,0,0.0387,91.998,4,0.454,2,"Winter",3,1202,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,"2005"
"20","3 Doors Down","When I'm Gone",2002-11-23,67,45,0.005,0.542,260267,0.826,0,7,0.096,-4.605,1,0.0322,111.083,4,0.377,11,"Fall",3,1202,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,"2002"
"21","3 Doors Down","When You're Young",2011-02-19,81,1,0.023,0.458,256013,0.774,0,9,0.108,-4.356,0,0.0316,76.996,4,0.2,2,"Winter",1,1202,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,"2011"
"22","3 Doors Down","Loser",2000-10-21,76,20,0.009,0.452,269813,0.902,1.38e-05,6,0.17,-5.645,0,0.0585,147.916,4,0.396,10,"Fall",1,1202,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,"2000"
"23","3 Doors Down","Be Like That",2001-07-28,72,21,0.006,0.501,266067,0.768,2.465e-06,7,0.114,-5.376,1,0.0245,95.981,4,0.347,7,"Summer",2,1202,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,"2001"
"24","311","Love Song",2004-05-01,72,20,0.015,0.625,211693,0.686,0.0499,9,0.093,-8.337,0,0.0309,139.817,4,0.556,5,"Spring",0,977,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,"2004"
"25","3LW","Playas Gon' Play",2001-06-02,91,7,0.004,0.656,283533,0.724,4.98e-05,6,0.269,-5.465,0,0.124,185.748,4,0.62,6,"Summer",1,4707,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"2001"
"26","3LW","No More (Baby I'ma Do Right)",2000-11-04,96,25,0.102,0.721,263440,0.723,4.4e-06,2,0.065,-7.08,0,0.0631,88.933,4,0.761,11,"Fall",0,4707,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"2000"
"27","3OH!3","Touchin On My",2010-06-05,49,2,0.03,0.538,183107,0.876,0,1,0.251,-3.559,1,0.139,83.949,4,0.527,6,"Summer",0,1531,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"2010"
"28","3OH!3","I Can Do Anything",2010-07-17,100,1,0.002,0.54,190880,0.906,0,5,0.368,-4.652,0,0.236,169.94,4,0.438,7,"Summer",2,1531,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"2010"
"29","3OH!3","Double Vision",2010-07-03,89,4,0.002,0.581,190707,0.888,0,0,0.413,-3.198,1,0.0587,120.041,4,0.629,7,"Summer",1,1531,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"2010"
"30","5 Seconds Of Summer","Want You Back",2018-03-10,61,1,0.007,0.618,173082,0.867,1.03e-06,0,0.202,-4.915,1,0.0439,98.03,4,0.579,3,"Spring",3,48,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"2018"
"31","5 Seconds Of Summer","Youngblood",2018-06-16,96,29,0.017,0.596,203418,0.854,0,7,0.124,-5.114,0,0.463,120.274,4,0.152,6,"Summer",4,48,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"2018"
"32","5 Seconds Of Summer","Jet Black Heart",2015-09-19,95,1,0,0.507,221716,0.85,0,11,0.081,-4.274,0,0.033,153.957,4,0.545,9,"Fall",2,48,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"2015"
"33","5 Seconds Of Summer","Fly Away",2015-09-05,100,1,0.001,0.432,212602,0.887,0,2,0.129,-3.103,1,0.0533,92.531,4,0.513,9,"Fall",1,48,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"2015"
"34","5 Seconds Of Summer","She's Kinda Hot",2015-08-08,22,9,0.002,0.664,216454,0.908,0,4,0.109,-4.806,1,0.0317,118.031,4,0.889,8,"Summer",0,48,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"2015"
"35","50 Cent","Hustler's Ambition",2005-11-05,73,5,0.265,0.627,237347,0.675,0,7,0.309,-8.299,1,0.284,87.93,4,0.662,11,"Fall",7,680,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"2005"
"36","50 Cent","Piggy Bank",2005-03-26,88,1,0.012,0.48,255173,0.845,0,10,0.331,-4.127,0,0.303,79.374,4,0.872,3,"Spring",4,680,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"2005"
"37","50 Cent","Outta Control",2005-09-17,92,1,0.308,0.688,201827,0.733,0,9,0.159,-4.365,1,0.156,96.036,4,0.483,9,"Fall",6,680,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"2005"
"38","50 Cent","P.I.M.P.",2003-05-31,70,25,0.051,0.635,249467,0.73,8.225e-06,10,0.041,-4.551,0,0.3675,82.279,4,0.854,5,"Spring",1,680,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"2003"
"39","50 Cent","Window Shopper",2005-11-12,82,11,0.124,0.535,190293,0.632,0,5,0.325,-7.057,0,0.201,174.317,4,0.478,11,"Fall",8,680,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"2005"
"40","50 Cent","Just A Lil Bit",2005-03-26,87,27,0.032,0.595,237707,0.661,0.00542,5,0.321,-7.72,0,0.3715,96.869,4,0.524,3,"Spring",4,680,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"2005"
"41","50 Cent","Straight To The Bank",2007-05-26,32,3,0.132,0.643,190680,0.81,0,7,0.046,-5.134,1,0.435,179.406,4,0.508,5,"Spring",6,680,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"2007"
"42","50 Cent","In Da Club",2003-01-11,67,30,0.267,0.883,193507,0.676,0,6,0.07,-4.386,0,0.386,90.077,4,0.809,1,"Winter",0,680,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"2003"
"43","50 Cent","If I Can't",2003-10-04,77,8,0.253,0.877,196640,0.64,0,11,0.024,-2.453,0,0.31,93.961,4,0.887,10,"Fall",2,680,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"2003"
"44","50 Cent","Disco Inferno",2004-12-11,54,29,0.208,0.924,213953,0.613,6.425e-05,2,0.187,-6.341,0,0.243,96.996,4,0.72,12,"Winter",3,680,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"2004"
"45","50 Cent","I Get It In",2009-02-28,53,2,0.083,0.688,200107,0.772,1.2e-05,1,0.304,-8.165,1,0.223,94.947,4,0.572,2,"Winter",3,680,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"2009"
"46","50 Cent","The Invitation",2009-12-05,97,1,0.035,0.409,174467,0.951,0,6,0.071,-2.505,0,0.467,83.853,4,0.422,12,"Winter",4,680,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"2009"
"47","50 Cent","Get Up",2008-11-01,44,9,0.039,0.706,193613,0.813,0,6,0.302,-6.031,0,0.163,92.469,4,0.425,11,"Fall",4,680,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"2008"
