,artist,trap,hip hop,indie,punk,rap,jazz,pop,metal,country,folk,bluegrass,house,rock,opera,classical,instrumental,funk,broadway,genre
0,A Boogie Wit da Hoodie,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"rap, trap music"
1,21 Savage,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"atl hip hop, rap, trap music"
2,Soundtrack,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,"nyc rap, house"
3,Meek Mill,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"hip hop, philly rap, pop, pop rap, rap, southern hip hop, trap music"
4,Post Malone,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"pop, rap"
5,Travis Scott,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"pop, pop rap, rap"
6,Lady Gaga & Bradley Cooper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Drake,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"canadian hip hop, canadian pop, hip hop, pop rap, rap"
8,Kodak Black,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"miami hip hop, rap, trap music"
9,Bad Bunny,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"reggaeton, trap latino"
10,Juice WRLD,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,chicago rap
11,Cardi B,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"pop, rap"
12,YoungBoy Never Broke Again,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,trap music
13,Lil Baby & Gunna,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"atl hip hop, atl trap, rap, trap music, atl hip hop, hip hop, pop rap, rap, southern hip hop, trap music, chicago rap, drill, hip hop, rap, southern hip hop, trap music, canadian hip hop, pop, pop rap, rap, southern hip hop, trap music"
14,Luke Combs,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"contemporary country, country road"
15,Ariana Grande,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"dance pop, pop, post-teen pop"
16,Billie Eilish,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"electropop, pop"
17,XXXTENTACION,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"emo rap, miami hip hop"
18,Lil Baby,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"atl hip hop, atl trap, rap, trap music"
19,Imagine Dragons,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"modern rock, rock"
20,Lil Wayne,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"hip hop, new orleans rap, pop, pop rap, rap, trap music"
21,6ix9ine,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"emo rap, nyc rap, trap music"
22,Panic! At The Disco,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,"emo, modern rock, pop punk"
23,Taylor Swift,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"dance pop, pop, post-teen pop"
24,Ed Sheeran,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"pop, uk pop"
25,Dan + Shay,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,contemporary country
