,index,artist,id,album_id,genres,genre
0,0,A Boogie Wit da Hoodie,0Veyvc3n9AcLSoK3r1dA12,3r5hf3Cj3EMh1C2saQ8jyt,NA,"rap, trap music"
1,20,21 Savage,2t8yVaLvJ0RenpXUIAC52d,007DWn799UWvfY1wwZeENR,NA,"atl hip hop, rap, trap music"
2,35,Soundtrack,5zsHmE2gO3RefVsPyw2e3T,35s58BRTGAEWztPo9WqCIs,NA,"nyc rap, house"
3,48,Meek Mill,3EQ9QP2E7wjYQba8OSPBst,6UYZEYjpN1DYRW0kqFy9ZE,NA,"hip hop, philly rap, pop, pop rap, rap, southern hip hop, trap music"
4,67,Post Malone,3fpVWegR6YOS1Yk5HSMYIq,6trNtQUgC8cgbWcqoMYkOR,NA,"pop, rap"
5,85,Travis Scott,7wBJfHzpfI3032CSD7CE2m,41GuZcammIkupMPKH2OJ6I,NA,"pop, pop rap, rap"
6,102,Lady Gaga & Bradley Cooper,69iiDrtnLNPWviEvaaRuvC,4sLtOBOzn4s3GDUv3c5oJD,NA,
7,136,Drake,2yg9UN4eo5eMVJ7OB4RWj3,1ATL5GLyefJaxhQzSPVrLX,NA,"canadian hip hop, canadian pop, hip hop, pop rap, rap"
8,161,Kodak Black,6Gg25EZRbQd4IHiJz2KSY0,5n1GSzC1Reao29ScnpLYqp,NA,"miami hip hop, rap, trap music"
9,186,Bad Bunny,278kSqsZIiYp8p3QjYAqa8,7CjJb2mikwAWA1V6kewFBF,NA,"reggaeton, trap latino"
10,201,Juice WRLD,7LoWAhcGbxSkT6trTqXQR6,6tkjU4Umpo79wwkgPMV3nZ,NA,chicago rap
11,218,Cardi B,7p2ewixAShLpjDZrnzZK7c,4KdtEKjY3Gi0mKiSdy96ML,NA,"pop, rap"
12,231,YoungBoy Never Broke Again,5zRPYlxK5EtXMKbflBKovY,3o5se5blwiAdJPk8yAw1EQ,NA,trap music
13,243,Lil Baby & Gunna,6PoKfDY78ih5OveWirggRX,2yXnY2NiaZk9QiJJittS81,NA,"atl hip hop, atl trap, rap, trap music, atl hip hop, hip hop, pop rap, rap, southern hip hop, trap music, chicago rap, drill, hip hop, rap, southern hip hop, trap music, canadian hip hop, pop, pop rap, rap, southern hip hop, trap music"
14,256,Luke Combs,2cLbHhoGUUDFygKYSksKHV,53Oa5Bu0UTU8o8qCTaHKoz,NA,"contemporary country, country road"
